171,291,121,190
171,293,121,190
171,295,121,190
170,297,121,190
169,296,121,190
169,295,121,190
170,295,121,190
169,295,121,190
168,295,121,190
168,295,121,190
168,294,121,190
170,294,121,190
170,295,121,190
169,295,121,190
170,295,121,190
171,294,121,190
172,293,121,190
173,292,121,190
175,291,121,190
176,289,121,190
180,287,121,190
182,287,121,190
181,288,121,190
181,289,121,190
181,290,121,190
181,290,121,190
180,290,121,190
179,291,121,190
179,291,121,190
179,291,121,190
180,292,121,190
181,292,121,190
181,292,121,190
181,292,121,190
182,292,121,190
184,293,121,190
188,294,121,190
192,297,121,190
196,299,121,190
204,298,121,190
178,297,121,190
176,299,121,190
174,303,121,190
176,309,121,190
179,314,121,190
182,319,121,190
183,323,121,190
282,290,121,190
292,288,121,190
300,288,121,190
315,285,121,190
334,282,121,190
344,281,121,190
352,280,121,190
365,276,121,190
374,276,121,190
380,272,121,190
384,271,121,190
392,272,121,190
402,273,121,190
419,281,121,190
442,283,121,190
445,279,121,190
453,277,121,190
461,276,121,190
469,273,121,190
477,273,121,190
482,273,121,190
496,270,121,190
486,261,121,190
488,259,121,190
490,261,121,190
493,257,121,190
494,253,121,190
498,253,121,190
498,252,121,190
498,250,121,190
492,247,121,190
494,249,121,190
585,273,121,190
589,272,121,190
590,271,121,190
591,271,121,190
585,272,121,190
650,302,121,190
648,303,121,190
643,302,121,190
589,265,121,190
577,267,121,190
688,241,121,190
689,240,121,190
684,240,121,190
678,238,121,190
716,171,121,190
718,121,121,190
709,125,121,190
685,152,121,190
677,151,121,190
669,150,121,190
667,150,121,190
